,name,quote,auth_id
0,Пушкин,"Все женщины прелестны, а красоту им придает любовь мужчин.",0.0
1,Пушкин,"Что ни говори, а любовь без надежд и требований трогает сердце женское вернее всех расчетов обольщения.",0.0
2,Пушкин,"Безответная любовь не унижает человека, а возвышает его.",0.0
3,Пушкин,"Научить человека быть счастливым — нельзя, но воспитать его так, чтобы он был счастливым, можно.",0.0
4,Пушкин,"Любовь — это восхитительный обман, на который человек соглашается по доброй воле.",0.0
5,Пушкин,"Нравственные поговорки бывают удивительно полезны в тех случаях, когда мы от себя мало что можем выдумать себе в оправдание.",0.0
6,Пушкин,"Поэзия, прости господи, должна быть глуповата.",0.0
7,Пушкин,"Я, конечно, презираю отечество мое с головы до ног — но мне досадно, если иностранец разделяет со мной это чувство.",0.0
8,Пушкин,Отказаться от риска — значит отказаться от творчества.,0.0
9,Пушкин,"Кто жил и мыслил, тот не может в душе не презирать людей.",0.0
10,Пушкин,"Привычка свыше нам дана:
Замена счастию она.",0.0
11,Пушкин,"Ах, обмануть меня не трудно!..
Я сам обманываться рад!",0.0
12,Пушкин,И с каждой осенью я расцветаю вновь.,0.0
13,Пушкин,Счастье можно найти лишь на проторенных дорогах.,0.0
14,Пушкин,Книги — это переплетенные люди.,0.0
15,Пушкин,"Себя как в зеркале я вижу,
но это зеркало мне льстит.",0.0
16,Пушкин,Под старость жизнь такая гадость…,0.0
17,Пушкин,"Мне грустно и легко; печаль моя светла;
Печаль моя полна тобою.",0.0
18,Пушкин,"На свете счастья нет, но есть покой и воля.",0.0
19,Пушкин,Тонкость не доказывает еще ума. Глупцы и даже сумасшедшие бывают удивительно тонки.,0.0
20,Пушкин,"«Кто жил и мыслил, тот не может в душе не презирать людей.»
А вот здесь я не согласна с Пушкиным. Вечный и Мудрый Бог, который нас создал и знает все о нас, очень нас любит: « Бог любит мир так сильно, что отдал своего единородного Сына, чтобы каждый, кто проявляет в него веру, не погиб, но имел вечную жизнь.» (Иоанна 3:16)",0.0
21,Пушкин,"Первый признак умного человека — с первого взгляда знать, с кем имеешь дело, и не метать бисера…",0.0
22,Пушкин,"Я далёк от того, чтобы восхищаться всем, что вижу вокруг себя; как писатель я огорчён…, многое мне претит, но клянусь вам моей честью – ни за что в мире я не хотел бы переменить Родину, или иметь иную историю, чем история наших предков, как её нам дал Бог.",0.0
23,Пушкин,"В миг, когда любовь исчезает, наше сердце ещё лелеет её воспоминание.",0.0
24,Пушкин,Истинное воображение требует гениального знания.,0.0
25,Пушкин,"Воспитатель должен себя так вести, что6ы каждое движение его воспитывало, и всегда должен знать, чего он хочет в данный момент и чего он не хочет. Если воспитатель не знает этого, кого он может воспитывать?",0.0
26,Пушкин,"Разберись, кто прав, кто виноват, да обоих и накажи.",0.0
27,Пушкин,Первая любовь всегда является делом чувствительности. Вторая — делом чувственности.,0.0
28,Пушкин,Прекрасное должно быть величаво…,0.0
29,Пушкин,"Говорят, что несчастия хорошая школа; может быть. Но счастия есть лучший университет.",0.0
30,Пушкин,Скука есть одна из принадлежностей мыслящего существа.,0.0
31,Пушкин,"«Кто жил и мыслил, тот не может в душе не презирать людей.»
А вот здесь я не согласна с Пушкиным. Вечный и Мудрый Бог, который нас создал и знает все о нас, очень нас любит: « Бог любит мир так сильно, что отдал своего единородного Сына, чтобы каждый, кто проявляет в него веру, не погиб, но имел вечную жизнь.» (Иоанна 3:16)",0.0
32,Пушкин,"Жизнь есть не только подготовка к завтрашнему дню, но и непосредственная живая радость.",0.0
33,Пушкин,"Я пишу для себя, а печатаю для денег.",0.0
34,Пушкин,"Не все я в небе ненавидел,
Не все я в мире презирал.",0.0
35,Пушкин,"Не откладывай до ужина того, что можешь съесть за обедом.",0.0
36,Пушкин,"Глупая критика не так заметна, как глупая похвала.",0.0
37,Пушкин,"Не ужинать — святой тому закон,
Кому всего дороже легкий сон.",0.0
38,Пушкин,"Поэтов — хвалят все, питают — лишь журналы…",0.0
39,Пушкин,"Зависть — сестра соревнования, следственно из хорошего роду.",0.0
40,Пушкин,Наши дети — это наша старость.,0.0
41,Пушкин,"Мысль! Великое слово! Что же и составляет величие человека, как не мысль! Да будет же она свободна, как должен быть свободен человек…",0.0
42,Пушкин,"«Кто жил и мыслил, тот не может в душе не презирать людей.»
А вот здесь я не согласна с Пушкиным. Вечный и Мудрый Бог, который нас создал и знает все о нас, очень нас любит: « Бог любит мир так сильно, что отдал своего единородного Сына, чтобы каждый, кто проявляет в него веру, не погиб, но имел вечную жизнь.» (Иоанна 3:16)",0.0
43,Пушкин,"Где нет любви, там нет веселий.",0.0
44,Пушкин,Переводчики — почтовые лошади просвещения.,0.0
45,Пушкин,Наука сокращает нам опыты быстротекущей жизни.,0.0
46,Пушкин,Повторенное острое слово становится глупостью.,0.0
47,Пушкин,Он чином от ума избавлен.,0.0
48,Пушкин,"Не продаётся вдохновенье,
Но можно рукопись продать.",0.0
49,Пушкин,"Говорят, что несчастие хорошая школа; может быть. Но счастие есть лучший университет. Оно довершает воспитание души, способной к доброму и прекрасному.",0.0
50,Пушкин,"Уважение к минувшему — вот черта, отличающая образованность от дикости.",0.0
51,Пушкин,"Народ требует сильных ощущений, для него и казни — зрелище.",0.0
52,Пушкин,Односторонность есть пагуба мысли.,0.0
53,Пушкин,"«Кто жил и мыслил, тот не может в душе не презирать людей.»
А вот здесь я не согласна с Пушкиным. Вечный и Мудрый Бог, который нас создал и знает все о нас, очень нас любит: « Бог любит мир так сильно, что отдал своего единородного Сына, чтобы каждый, кто проявляет в него веру, не погиб, но имел вечную жизнь.» (Иоанна 3:16)",0.0
54,Пушкин,Точность – вежливость поваров.,0.0
55,Пушкин,Брак холостит душу.,0.0
56,Пушкин,"Презирать суд людей нетрудно, презирать суд собственный — невозможно.",0.0
57,Пушкин,"Во всяком случае, в аду будет много хорошеньких, там можно будет играть в шарады.",0.0
58,Пушкин,"Кто счастье знал, уж не узнает счастья.",0.0
59,Пушкин,"Пошлость — это то, что пошло в народ.",0.0
60,Пушкин,"Иди, куда влечет тебя свободный ум.",0.0
61,Пушкин,"Кто раз любил, уж не полюбит вновь.",0.0
62,Пушкин,"Нет убедительности в поношениях, и нет истины, где нет любви.",0.0
63,Пушкин,"Тьмы низких истин мне дороже
Нас возвышающий обман…",0.0
64,Пушкин,"«Кто жил и мыслил, тот не может в душе не презирать людей.»
А вот здесь я не согласна с Пушкиным. Вечный и Мудрый Бог, который нас создал и знает все о нас, очень нас любит: « Бог любит мир так сильно, что отдал своего единородного Сына, чтобы каждый, кто проявляет в него веру, не погиб, но имел вечную жизнь.» (Иоанна 3:16)",0.0
65,Пушкин,"Толпа жадно читает исповеди, записи etc., потому что в подлости своей радуется унижению высокого, слабостям могущего. При открытии всякой мерзости она в восхищении. Он мал, как мы, он мерзок, как мы! Врете, подлецы: он и мал и мерзок не так, как вы, — иначе!",0.0
66,Пушкин,"Разум неистощим в соображении понятий, как язык неистощим в соединении слов.",0.0
67,Пушкин,"Ох, лето красное! любил бы я тебя,
Когда б не зной, да пыль, да комары, да мухи.",0.0
68,Пушкин,Зачем кусать нам груди кормилицы нашей; потому что зубки прорезались?,0.0
69,Пушкин,"Что слава? — Яркая заплата
На ветхом рубище певца.",0.0
70,Пушкин,Страсть к игре — самая сильная из страстей.,0.0
71,Пушкин,"Никогда не забывай умышленной обиды, — будь немногословен или вовсе смолчи и никогда не отвечай оскорблением на оскорбление.",0.0
72,Пушкин,"Никогда не делай долгов; лучше терпи нужду; поверь, она не так ужасна, как кажется, и, во всяком случае, она лучше неизбежности вдруг оказаться бесчестным или прослыть таковым.",0.0
73,Пушкин,"Я деньги мало люблю, но уважаю в них единственный способ благопристойной независимости!",0.0
74,Пушкин,"Вдохновение нужно в поэзии, как в геометрии.",0.0
75,Пушкин,"«Кто жил и мыслил, тот не может в душе не презирать людей.»
А вот здесь я не согласна с Пушкиным. Вечный и Мудрый Бог, который нас создал и знает все о нас, очень нас любит: « Бог любит мир так сильно, что отдал своего единородного Сына, чтобы каждый, кто проявляет в него веру, не погиб, но имел вечную жизнь.» (Иоанна 3:16)",0.0
76,Пушкин,"Если средства или обстоятельства не позволяют тебе блистать, не старайся скрывать лишений; скорее избери другую крайность: цинизм своей резкостью импонирует суетному мнению света, между тем как мелочные ухищрения тщеславия делают человека смешным и достойным презрения.",0.0
77,Пушкин,"То, что я могу сказать тебе о женщинах, было бы совершено бесполезно. Замечу только, что чем меньше любим мы женщину, тем вернее можем овладеть ею. Однако забава эта достойна старой обезьяны восемнадцатого столетия. Что касается той женщины, которую ты полюбишь, от всего сердца желаю тебе обладать ею.",0.0
78,Пушкин,Желудок просвещенного человека имеет лучшие качества доброго сердца: чувствительность и благодарность.,0.0
79,Пушкин,Нет ничего безвкуснее долготерпения и самоотверженности.,0.0
